Aplicação,Dependência,Pacote,Versão,Peso
APACHE,libgnutls30,libunistring2 ,>= 0.9.7,9
APACHE,libgnutls30,zlib1g ,>= 1:1.1.4,9
APACHE,libgmp10,libc6 ,>= 2.14,1
APACHE,libhogweed4,libc6 ,>= 2.14,3
APACHE,libhogweed4,libgmp10 ,>= 2:6.0.0,3
APACHE,libhogweed4,libnettle6 ,2.4,3
APACHE,libnettle6,libc6 ,>= 2.14,1
APACHE,libidn2-0,libc6 ,>= 2.14,2
APACHE,libidn2-0,libunistring2 ,>= 0.9.7,2
APACHE,libunistring2,libc6 ,>= 2.14,1
APACHE,libp11-kit0,libc6 ,>= 2.26,2
APACHE,libp11-kit0,libffi6 ,>= 3.0.4,2
APACHE,libffi6,libc6 ,>= 2.14,1
APACHE,libtasn1-6,libc6 ,>= 2.14,1
APACHE,libgssapi3-heimdal,libasn1-8-heimdal ,>= 1.4.0+git20110226,7
APACHE,libgssapi3-heimdal,libc6 ,>= 2.14,7
APACHE,libgssapi3-heimdal,libcomerr2 ,>= 1.01,7
APACHE,libgssapi3-heimdal,libhcrypto4-heimdal ,>= 1.4.0+git20110226,7
APACHE,libgssapi3-heimdal,libheimntlm0-heimdal ,>= 1.4.0+git20110226,7
APACHE,libgssapi3-heimdal,libkrb5-26-heimdal ,>= 1.6~git20131117,7
APACHE,libgssapi3-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,7
APACHE,libasn1-8-heimdal,libc6 ,>= 2.14,3
APACHE,libasn1-8-heimdal,libcomerr2 ,>= 1.01,3
APACHE,libasn1-8-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,3
APACHE,libcomerr2,libcom-err2,any,1
APACHE,libroken18-heimdal,libc6 ,>= 2.16,1
APACHE,libhcrypto4-heimdal,libasn1-8-heimdal ,>= 1.4.0+git20110226,4
APACHE,libhcrypto4-heimdal,libc6 ,>= 2.14,4
APACHE,libhcrypto4-heimdal,libheimbase1-heimdal ,>= 1.4.0+git20110226,4
APACHE,libhcrypto4-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,4
APACHE,libheimbase1-heimdal,libc6 ,>= 2.14,1
APACHE,libheimntlm0-heimdal,libc6 ,>= 2.4,5
APACHE,libheimntlm0-heimdal,libhcrypto4-heimdal ,>= 1.4.0+git20110226,5
APACHE,libheimntlm0-heimdal,libkrb5-26-heimdal ,>= 1.4.0+git20110226,5
APACHE,libheimntlm0-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,5
APACHE,libheimntlm0-heimdal,libwind0-heimdal ,>= 1.4.0+git20110226,5
APACHE,libkrb5-26-heimdal,libasn1-8-heimdal ,>= 1.6~git20131117,9
APACHE,libkrb5-26-heimdal,libc6 ,>= 2.15,9
APACHE,libkrb5-26-heimdal,libcomerr2 ,>= 1.41.11,9
APACHE,libkrb5-26-heimdal,libhcrypto4-heimdal ,>= 1.7~git20161112,9
APACHE,libkrb5-26-heimdal,libheimbase1-heimdal ,>= 1.6~git20131117,9
APACHE,libkrb5-26-heimdal,libhx509-5-heimdal ,>= 1.4.0+git20110226,9
APACHE,libkrb5-26-heimdal,libroken18-heimdal ,>= 1.7~git20160418,9
APACHE,libkrb5-26-heimdal,libsqlite3-0 ,>= 3.5.9,9
APACHE,libkrb5-26-heimdal,libwind0-heimdal ,>= 1.6~git20120311,9
APACHE,libhx509-5-heimdal,libasn1-8-heimdal ,>= 1.4.0+git20110226,7
APACHE,libhx509-5-heimdal,libc6 ,>= 2.14,7
APACHE,libhx509-5-heimdal,libcomerr2 ,>= 1.34,7
APACHE,libhx509-5-heimdal,libhcrypto4-heimdal ,>= 1.4.0+git20110226,7
APACHE,libhx509-5-heimdal,libheimbase1-heimdal ,>= 1.6~git20131117,7
APACHE,libhx509-5-heimdal,libroken18-heimdal ,>= 1.7~git20150920,7
APACHE,libhx509-5-heimdal,libwind0-heimdal ,>= 1.4.0+git20110226,7
APACHE,libwind0-heimdal,libc6 ,>= 2.14,3
APACHE,libwind0-heimdal,libcomerr2 ,>= 1.01,3
APACHE,libwind0-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,3
APACHE,libsqlite3-0,libc6 ,>= 2.14,1
APACHE,libsasl2-2,libc6 ,>= 2.15,2
APACHE,libsasl2-2,libsasl2-modules-db ,>= 2.1.27~101-g0780600+dfsg-3ubuntu2,2
APACHE,libsasl2-modules-db,libc6 ,>= 2.14,2
APACHE,libsasl2-modules-db,libdb5.3,any,2
APACHE,libaprutil1-dbd-sqlite3,libaprutil1 ,= 1.6.1-2,3
APACHE,libaprutil1-dbd-sqlite3,libc6 ,>= 2.4,3
APACHE,libaprutil1-dbd-sqlite3,libsqlite3-0 ,>= 3.5.9,3
APACHE,libaprutil1-ldap,libaprutil1 ,= 1.6.1-2,3
APACHE,libaprutil1-ldap,libc6 ,>= 2.4,3
APACHE,libaprutil1-ldap,libldap-2.4-2 ,>= 2.4.7,3
APACHE,liblua5.2-0,libc6 ,>= 2.14,2
APACHE,liblua5.2-0,libstdc++6 ,>= 4.1.1,2
APACHE,libnghttp2-14,libc6 ,>= 2.14,1
APACHE,libxml2,libc6 ,>= 2.15,4
APACHE,libxml2,libicu60 ,>= 60.1-1~,4
APACHE,libxml2,liblzma5 ,>= 5.1.1alpha+20120614,4
APACHE,libxml2,zlib1g ,>= 1:1.2.3.3,4
APACHE,libicu60,libc6 ,>= 2.14,3
APACHE,libicu60,libgcc1 ,>= 1:3.0,3
APACHE,libicu60,libstdc++6 ,>= 5.2,3
APACHE,apache2-utils,libapr1 ,>= 1.4.8-2~,4
APACHE,apache2-utils,libaprutil1 ,>= 1.5.0,4
APACHE,apache2-utils,libc6 ,>= 2.14,4
APACHE,apache2-utils,libssl1.1 ,>= 1.1.0,4
APACHE,perl,libperl5.26 ,= 5.26.1-6ubuntu0.3,3
APACHE,perl,perl-base ,= 5.26.1-6ubuntu0.3,3
APACHE,perl,perl-modules-5.26 ,>= 5.26.1-6ubuntu0.3,3
APACHE,libperl5.26,libbz2-1.0,any,7
APACHE,libperl5.26,libc6 ,>= 2.23,7
APACHE,libperl5.26,libdb5.3,any,7
APACHE,libperl5.26,libgdbm-compat4,any,7
APACHE,libperl5.26,libgdbm5 ,>= 1.12,7
APACHE,libperl5.26,perl-modules-5.26 ,>= 5.26.1-6ubuntu0.3,7
APACHE,libperl5.26,zlib1g ,>= 1:1.2.2.3,7
APACHE,libgdbm-compat4,libc6 ,>= 2.14,2
APACHE,libgdbm-compat4,libgdbm5 ,>= 1.14,2
APACHE,perl-modules-5.26,perl-base ,>= 5.26.1-1,1
APACHE,procps,init-system-helpers ,>= 1.29~,7
APACHE,procps,libc6 ,>= 2.27,7
APACHE,procps,libncurses5 ,>= 6,7
APACHE,procps,libncursesw5 ,>= 6,7
APACHE,procps,libprocps6,any,7
APACHE,procps,libtinfo5 ,>= 6,7
APACHE,procps,lsb-base ,>= 3.0-10,7
APACHE,init-system-helpers,perl-base ,>= 5.20.1-3,1
APACHE,libncurses5,libc6 ,>= 2.14,2
APACHE,libncurses5,libtinfo5 ,= 6.1-1ubuntu1.18.04,2
APACHE,libtinfo5,libc6 ,>= 2.16,1
APACHE,libncursesw5,libc6 ,>= 2.14,2
APACHE,libncursesw5,libtinfo5 ,= 6.1-1ubuntu1.18.04,2
APACHE,libprocps6,libc6 ,>= 2.14,2
APACHE,libprocps6,libsystemd0 ,>= 209,2
APACHE,libgcrypt20,libc6 ,>= 2.15,2
APACHE,libgcrypt20,libgpg-error0 ,>= 1.25,2
APACHE,libgpg-error0,libc6 ,>= 2.15,1
APACHE,liblz4-1,libc6 ,>= 2.14,1
APACHE,apache2-utils,libapr1 ,>= 1.4.8-2~,4
APACHE,apache2-utils,libaprutil1 ,>= 1.5.0,4
APACHE,apache2-utils,libc6 ,>= 2.14,4
APACHE,apache2-utils,libssl1.1 ,>= 1.1.0,4
APACHE,libapr1,libc6 ,>= 2.15,2
APACHE,libapr1,libuuid1 ,>= 2.16,2
APACHE,libc6,libgcc1,any,1
APACHE,libgcc1,gcc-8-base ,= 8.2.0-1ubuntu2~18.04,2
APACHE,libgcc1,libc6 ,>= 2.14,2
APACHE,libuuid1,libc6 ,>= 2.25,1
APACHE,libaprutil1,libapr1 ,>= 1.6.2,6
APACHE,libaprutil1,libc6 ,>= 2.25,6
APACHE,libaprutil1,libdb5.3,any,6
APACHE,libaprutil1,libexpat1 ,>= 2.0.1,6
APACHE,libaprutil1,libgdbm5 ,>= 1.14,6
APACHE,libaprutil1,libssl1.1 ,>= 1.1.0,6
APACHE,libdb5.3,libc6 ,>= 2.17,1
APACHE,libexpat1,libc6 ,>= 2.25,1
APACHE,libgdbm5,libc6 ,>= 2.14,1
APACHE,libssl1.1,debconf ,>= 0.5,3
APACHE,libssl1.1,debconf-2.0,any,3
APACHE,libssl1.1,libc6 ,>= 2.14,3
APACHE,dpkg,tar ,>= 1.28-1,1
APACHE,libacl1,libattr1 ,>= 1:2.4.46-8,2
APACHE,libacl1,libc6 ,>= 2.14,2
APACHE,libattr1,libc6 ,>= 2.4,1
APACHE,libselinux1,libc6 ,>= 2.14,2
APACHE,libselinux1,libpcre3,any,2
APACHE,libpcre3,libc6 ,>= 2.14,1
APACHE,libbz2-1.0,libc6 ,>= 2.4,1
APACHE,liblzma5,libc6 ,>= 2.17,1
APACHE,libzstd1,libc6 ,>= 2.14,1
APACHE,zlib1g,libc6 ,>= 2.14,1
CHADO,libpq-dev,libpq5 ,= 10.6-0ubuntu0.18.04.1,1
CHADO,libpq5,libc6 ,>= 2.14,4
CHADO,libpq5,libgssapi-krb5-2 ,>= 1.14+dfsg,4
CHADO,libpq5,libldap-2.4-2 ,>= 2.4.7,4
CHADO,libpq5,libssl1.1 ,>= 1.1.0,4
CHADO,libc6,libgcc1,any,1
CHADO,libgcc1,gcc-8-base ,= 8.2.0-1ubuntu2~18.04,2
CHADO,libgcc1,libc6 ,>= 2.14,2
CHADO,libgssapi-krb5-2,libc6 ,>= 2.27,5
CHADO,libgssapi-krb5-2,libcom-err2 ,>= 1.34,5
CHADO,libgssapi-krb5-2,libk5crypto3 ,>= 1.16,5
CHADO,libgssapi-krb5-2,libkrb5-3 ,= 1.16-2ubuntu0.1,5
CHADO,libgssapi-krb5-2,libkrb5support0 ,>= 1.15~beta1,5
CHADO,libcom-err2,libc6 ,>= 2.17,1
CHADO,libk5crypto3,libc6 ,>= 2.14,2
CHADO,libk5crypto3,libkrb5support0 ,>= 1.16,2
CHADO,libkrb5support0,libc6 ,>= 2.14,1
CHADO,libkrb5-3,libc6 ,>= 2.16,5
CHADO,libkrb5-3,libcom-err2 ,>= 1.34,5
CHADO,libkrb5-3,libk5crypto3 ,>= 1.15~beta1,5
CHADO,libkrb5-3,libkeyutils1 ,>= 1.5.9,5
CHADO,libkrb5-3,libkrb5support0 ,= 1.16-2ubuntu0.1,5
CHADO,libkeyutils1,libc6 ,>= 2.14,1
CHADO,libldap-2.4-2,libc6 ,>= 2.14,5
CHADO,libldap-2.4-2,libgnutls30 ,>= 3.5.6,5
CHADO,libldap-2.4-2,libgssapi3-heimdal ,>= 1.4.0+git20110226,5
CHADO,libldap-2.4-2,libldap-common ,>= 2.4.45+dfsg-1ubuntu1.1,5
CHADO,libldap-2.4-2,libsasl2-2,any,5
CHADO,libgnutls30,libc6 ,>= 2.25,9
CHADO,libgnutls30,libgmp10 ,>= 2:6,9
CHADO,libgnutls30,libhogweed4,any,9
CHADO,libgnutls30,libidn2-0 ,>= 0.6,9
CHADO,libgnutls30,libnettle6,any,9
CHADO,libgnutls30,libp11-kit0 ,>= 0.23.1,9
CHADO,libgnutls30,libtasn1-6 ,>= 4.12,9
CHADO,libgnutls30,libunistring2 ,>= 0.9.7,9
CHADO,libgnutls30,zlib1g ,>= 1:1.1.4,9
CHADO,libgmp10,libc6 ,>= 2.14,1
CHADO,libhogweed4,libc6 ,>= 2.14,3
CHADO,libhogweed4,libgmp10 ,>= 2:6.0.0,3
CHADO,libhogweed4,libnettle6 ,2.4,3
CHADO,libnettle6,libc6 ,>= 2.14,1
CHADO,libidn2-0,libc6 ,>= 2.14,2
CHADO,libidn2-0,libunistring2 ,>= 0.9.7,2
CHADO,libunistring2,libc6 ,>= 2.14,1
CHADO,libp11-kit0,libc6 ,>= 2.26,2
CHADO,libp11-kit0,libffi6 ,>= 3.0.4,2
CHADO,libffi6,libc6 ,>= 2.14,1
CHADO,libtasn1-6,libc6 ,>= 2.14,1
CHADO,zlib1g,libc6 ,>= 2.14,1
CHADO,libgssapi3-heimdal,libasn1-8-heimdal ,>= 1.4.0+git20110226,7
CHADO,libgssapi3-heimdal,libc6 ,>= 2.14,7
CHADO,libgssapi3-heimdal,libcomerr2 ,>= 1.01,7
CHADO,libgssapi3-heimdal,libhcrypto4-heimdal ,>= 1.4.0+git20110226,7
CHADO,libgssapi3-heimdal,libheimntlm0-heimdal ,>= 1.4.0+git20110226,7
CHADO,libgssapi3-heimdal,libkrb5-26-heimdal ,>= 1.6~git20131117,7
CHADO,libgssapi3-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,7
CHADO,libasn1-8-heimdal,libc6 ,>= 2.14,3
CHADO,libasn1-8-heimdal,libcomerr2 ,>= 1.01,3
CHADO,libasn1-8-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,3
CHADO,libcomerr2,libcom-err2,any,1
CHADO,libroken18-heimdal,libc6 ,>= 2.16,1
CHADO,libhcrypto4-heimdal,libasn1-8-heimdal ,>= 1.4.0+git20110226,4
CHADO,libhcrypto4-heimdal,libc6 ,>= 2.14,4
CHADO,libhcrypto4-heimdal,libheimbase1-heimdal ,>= 1.4.0+git20110226,4
