C:\Users\rapha\Downloads\dependenciesnew\apache,libmysqlclient20,libc6 ,>= 2.14,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libmysqlclient20,libgcc1 ,>= 1:3.0,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libmysqlclient20,libstdc++6 ,>= 5.2,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libmysqlclient20,mysql-common ,>= 5.5,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libmysqlclient20,zlib1g ,>= 1:1.1.4,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libstdc++6,gcc-8-base ,= 8.2.0-1ubuntu2~18.04,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libstdc++6,libc6 ,>= 2.18,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libstdc++6,libgcc1 ,>= 1:4.2,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libaprutil1-dbd-odbc,libaprutil1 ,= 1.6.1-2,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libaprutil1-dbd-odbc,libc6 ,>= 2.14,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libaprutil1-dbd-odbc,libodbc1 ,>= 2.3.1,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libodbc1,libc6 ,>= 2.14,2
C:\Users\rapha\Downloads\dependenciesnew\apache,libodbc1,libltdl7 ,>= 2.4.6,2
C:\Users\rapha\Downloads\dependenciesnew\apache,libltdl7,libc6 ,>= 2.14,1
C:\Users\rapha\Downloads\dependenciesnew\apache,libaprutil1-dbd-pgsql,libaprutil1 ,= 1.6.1-2,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libaprutil1-dbd-pgsql,libc6 ,>= 2.14,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libaprutil1-dbd-pgsql,libpq5,any,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libpq5,libc6 ,>= 2.14,4
C:\Users\rapha\Downloads\dependenciesnew\apache,libpq5,libgssapi-krb5-2 ,>= 1.14+dfsg,4
C:\Users\rapha\Downloads\dependenciesnew\apache,libpq5,libldap-2.4-2 ,>= 2.4.7,4
C:\Users\rapha\Downloads\dependenciesnew\apache,libpq5,libssl1.1 ,>= 1.1.0,4
C:\Users\rapha\Downloads\dependenciesnew\apache,libgssapi-krb5-2,libc6 ,>= 2.27,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libgssapi-krb5-2,libcom-err2 ,>= 1.34,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libgssapi-krb5-2,libk5crypto3 ,>= 1.16,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libgssapi-krb5-2,libkrb5-3 ,= 1.16-2ubuntu0.1,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libgssapi-krb5-2,libkrb5support0 ,>= 1.15~beta1,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libcom-err2,libc6 ,>= 2.17,1
C:\Users\rapha\Downloads\dependenciesnew\apache,libk5crypto3,libc6 ,>= 2.14,2
C:\Users\rapha\Downloads\dependenciesnew\apache,libk5crypto3,libkrb5support0 ,>= 1.16,2
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5support0,libc6 ,>= 2.14,1
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5-3,libc6 ,>= 2.16,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5-3,libcom-err2 ,>= 1.34,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5-3,libk5crypto3 ,>= 1.15~beta1,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5-3,libkeyutils1 ,>= 1.5.9,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5-3,libkrb5support0 ,= 1.16-2ubuntu0.1,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libkeyutils1,libc6 ,>= 2.14,1
C:\Users\rapha\Downloads\dependenciesnew\apache,libldap-2.4-2,libc6 ,>= 2.14,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libldap-2.4-2,libgnutls30 ,>= 3.5.6,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libldap-2.4-2,libgssapi3-heimdal ,>= 1.4.0+git20110226,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libldap-2.4-2,libldap-common ,>= 2.4.45+dfsg-1ubuntu1.1,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libldap-2.4-2,libsasl2-2,any,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libgnutls30,libc6 ,>= 2.25,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libgnutls30,libgmp10 ,>= 2:6,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libgnutls30,libhogweed4,any,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libgnutls30,libidn2-0 ,>= 0.6,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libgnutls30,libnettle6,any,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libgnutls30,libp11-kit0 ,>= 0.23.1,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libgnutls30,libtasn1-6 ,>= 4.12,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libgnutls30,libunistring2 ,>= 0.9.7,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libgnutls30,zlib1g ,>= 1:1.1.4,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libgmp10,libc6 ,>= 2.14,1
C:\Users\rapha\Downloads\dependenciesnew\apache,libhogweed4,libc6 ,>= 2.14,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libhogweed4,libgmp10 ,>= 2:6.0.0,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libhogweed4,libnettle6 ,= 3.4-1,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libnettle6,libc6 ,>= 2.14,1
C:\Users\rapha\Downloads\dependenciesnew\apache,libidn2-0,libc6 ,>= 2.14,2
C:\Users\rapha\Downloads\dependenciesnew\apache,libidn2-0,libunistring2 ,>= 0.9.7,2
C:\Users\rapha\Downloads\dependenciesnew\apache,libunistring2,libc6 ,>= 2.14,1
C:\Users\rapha\Downloads\dependenciesnew\apache,libp11-kit0,libc6 ,>= 2.26,2
C:\Users\rapha\Downloads\dependenciesnew\apache,libp11-kit0,libffi6 ,>= 3.0.4,2
C:\Users\rapha\Downloads\dependenciesnew\apache,libffi6,libc6 ,>= 2.14,1
C:\Users\rapha\Downloads\dependenciesnew\apache,libtasn1-6,libc6 ,>= 2.14,1
C:\Users\rapha\Downloads\dependenciesnew\apache,libgssapi3-heimdal,libasn1-8-heimdal ,>= 1.4.0+git20110226,7
C:\Users\rapha\Downloads\dependenciesnew\apache,libgssapi3-heimdal,libc6 ,>= 2.14,7
C:\Users\rapha\Downloads\dependenciesnew\apache,libgssapi3-heimdal,libcomerr2 ,>= 1.01,7
C:\Users\rapha\Downloads\dependenciesnew\apache,libgssapi3-heimdal,libhcrypto4-heimdal ,>= 1.4.0+git20110226,7
C:\Users\rapha\Downloads\dependenciesnew\apache,libgssapi3-heimdal,libheimntlm0-heimdal ,>= 1.4.0+git20110226,7
C:\Users\rapha\Downloads\dependenciesnew\apache,libgssapi3-heimdal,libkrb5-26-heimdal ,>= 1.6~git20131117,7
C:\Users\rapha\Downloads\dependenciesnew\apache,libgssapi3-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,7
C:\Users\rapha\Downloads\dependenciesnew\apache,libasn1-8-heimdal,libc6 ,>= 2.14,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libasn1-8-heimdal,libcomerr2 ,>= 1.01,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libasn1-8-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libcomerr2,libcom-err2,any,1
C:\Users\rapha\Downloads\dependenciesnew\apache,libroken18-heimdal,libc6 ,>= 2.16,1
C:\Users\rapha\Downloads\dependenciesnew\apache,libhcrypto4-heimdal,libasn1-8-heimdal ,>= 1.4.0+git20110226,4
C:\Users\rapha\Downloads\dependenciesnew\apache,libhcrypto4-heimdal,libc6 ,>= 2.14,4
C:\Users\rapha\Downloads\dependenciesnew\apache,libhcrypto4-heimdal,libheimbase1-heimdal ,>= 1.4.0+git20110226,4
C:\Users\rapha\Downloads\dependenciesnew\apache,libhcrypto4-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,4
C:\Users\rapha\Downloads\dependenciesnew\apache,libheimbase1-heimdal,libc6 ,>= 2.14,1
C:\Users\rapha\Downloads\dependenciesnew\apache,libheimntlm0-heimdal,libc6 ,>= 2.4,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libheimntlm0-heimdal,libhcrypto4-heimdal ,>= 1.4.0+git20110226,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libheimntlm0-heimdal,libkrb5-26-heimdal ,>= 1.4.0+git20110226,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libheimntlm0-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libheimntlm0-heimdal,libwind0-heimdal ,>= 1.4.0+git20110226,5
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5-26-heimdal,libasn1-8-heimdal ,>= 1.6~git20131117,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5-26-heimdal,libc6 ,>= 2.15,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5-26-heimdal,libcomerr2 ,>= 1.41.11,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5-26-heimdal,libhcrypto4-heimdal ,>= 1.7~git20161112,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5-26-heimdal,libheimbase1-heimdal ,>= 1.6~git20131117,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5-26-heimdal,libhx509-5-heimdal ,>= 1.4.0+git20110226,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5-26-heimdal,libroken18-heimdal ,>= 1.7~git20160418,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5-26-heimdal,libsqlite3-0 ,>= 3.5.9,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libkrb5-26-heimdal,libwind0-heimdal ,>= 1.6~git20120311,9
C:\Users\rapha\Downloads\dependenciesnew\apache,libhx509-5-heimdal,libasn1-8-heimdal ,>= 1.4.0+git20110226,7
C:\Users\rapha\Downloads\dependenciesnew\apache,libhx509-5-heimdal,libc6 ,>= 2.14,7
C:\Users\rapha\Downloads\dependenciesnew\apache,libhx509-5-heimdal,libcomerr2 ,>= 1.34,7
C:\Users\rapha\Downloads\dependenciesnew\apache,libhx509-5-heimdal,libhcrypto4-heimdal ,>= 1.4.0+git20110226,7
C:\Users\rapha\Downloads\dependenciesnew\apache,libhx509-5-heimdal,libheimbase1-heimdal ,>= 1.6~git20131117,7
C:\Users\rapha\Downloads\dependenciesnew\apache,libhx509-5-heimdal,libroken18-heimdal ,>= 1.7~git20150920,7
C:\Users\rapha\Downloads\dependenciesnew\apache,libhx509-5-heimdal,libwind0-heimdal ,>= 1.4.0+git20110226,7
C:\Users\rapha\Downloads\dependenciesnew\apache,libwind0-heimdal,libc6 ,>= 2.14,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libwind0-heimdal,libcomerr2 ,>= 1.01,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libwind0-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libsqlite3-0,libc6 ,>= 2.14,1
C:\Users\rapha\Downloads\dependenciesnew\apache,libsasl2-2,libc6 ,>= 2.15,2
C:\Users\rapha\Downloads\dependenciesnew\apache,libsasl2-2,libsasl2-modules-db ,>= 2.1.27~101-g0780600+dfsg-3ubuntu2,2
C:\Users\rapha\Downloads\dependenciesnew\apache,libsasl2-modules-db,libc6 ,>= 2.14,2
C:\Users\rapha\Downloads\dependenciesnew\apache,libsasl2-modules-db,libdb5.3,any,2
C:\Users\rapha\Downloads\dependenciesnew\apache,libaprutil1-dbd-sqlite3,libaprutil1 ,= 1.6.1-2,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libaprutil1-dbd-sqlite3,libc6 ,>= 2.4,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libaprutil1-dbd-sqlite3,libsqlite3-0 ,>= 3.5.9,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libaprutil1-ldap,libaprutil1 ,= 1.6.1-2,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libaprutil1-ldap,libc6 ,>= 2.4,3
C:\Users\rapha\Downloads\dependenciesnew\apache,libaprutil1-ldap,libldap-2.4-2 ,>= 2.4.7,3
C:\Users\rapha\Downloads\dependenciesnew\apache,liblua5.2-0,libc6 ,>= 2.14,2
C:\Users\rapha\Downloads\dependenciesnew\apache,liblua5.2-0,libstdc++6 ,>= 4.1.1,2
C:\Users\rapha\Downloads\dependenciesnew\apache,libnghttp2-14,libc6 ,>= 2.14,1
C:\Users\rapha\Downloads\dependenciesnew\apache,libxml2,libc6 ,>= 2.15,4
C:\Users\rapha\Downloads\dependenciesnew\apache,libxml2,libicu60 ,>= 60.1-1~,4
